,Job Request ID ,Application Date,Customer Name,Gender,Contact Number,Email Address,National ID Number,Administrative Division (Lagos),LGA Zone,Street Name,Zipcode,Description of Need,Latitude,Longitude,Job Status,Completed Date and time
0,PP20080827777,2008-08-27,Bola Ekanem,Female,2348053911779,bola.ekanem45@yahoo.com,99953733730,Lagos Island Division,Surulere,Monterey,94127.0,Sudden burst water pipe inside bathroom wall causing flooding,6.501867,3.359417,Closed,2026-02-13 04:03:00
1,PP20081216630,2008-12-16,Ngozi Ojo,Female,2349054733400,ngozi.ojo24@gmail.com,57215045765,Epe Division,Epe,27th,94121.0,new boiler,6.590477,3.99883,Closed,2026-02-13 04:03:00
2,PP20091112288,2009-11-12,Adaeze Danladi,Female,2348037698416,adaeze.danladi18@outlook.com,17742742886,Badagry Division,Amuwo-Odofin,Chestnut,94123.0,Public tap pipe severely damaged in residential community,6.447658,3.247659,Closed,2026-02-13 04:03:00
3,PP20091118429,2009-11-18,Aisha Akinyemi,Female,2348106641539,aisha.akinyemi61@yahoo.com,74441275865,Lagos Island Division,Eti-Osa,Naylor,94112.0,Bathroom floor drain completely clogged with wastewater backup,6.448892,3.429574,Closed,2026-02-13 04:03:00
4,PP20101217828,2010-12-17,Seyi Ibrahim,Male,2349018654299,seyi.ibrahim69@yahoo.com,36364167915,Ikeja Division,Kosofe,Church,94114.0,install a sand interception box and a sump pump outside the building,6.578605,3.422126,Closed,2026-02-13 04:03:00
5,PP20110106181,2011-01-06,Ngozi Akinyemi,Female,2349032726666,ngozi.akinyemi87@yahoo.com,34057108174,Ikeja Division,Kosofe,Panorama,94131.0,Major pipe burst near primary school disrupting access road,6.578666,3.412043,Closed,2026-02-13 04:03:00
6,PP20110629214,2011-06-29,Ngozi Bamidele,Female,2348161929821,ngozi.bamidele74@gmail.com,14852708837,Ikeja Division,Mushin,Lombard,94109.0,Sudden burst water pipe inside bathroom wall causing flooding,6.52972,3.335467,Closed,2026-02-13 04:03:00
7,PP20110826591,2011-08-26,Bola Ajayi,Female,2348119838266,bola.ajayi88@gmail.com,25997878390,Ikorodu Division,Ikorodu,Lyon,94123.0,Low water pressure affecting entire household supply,6.602151,3.504877,Closed,2026-02-13 04:03:00
8,PP20120515631,2012-05-15,Olamide Ogunleye,Male,2348177932240,olamide.ogunleye78@yahoo.com,69302620674,Badagry Division,Ojo,Vallejo,94123.0,Flooding due to collapsed drainage system after rainfall,6.450872,3.186142,Closed,2026-02-13 04:03:00
9,PP20121219905,2012-12-19,Chukwudi Akinyemi,Male,2348189252481,chukwudi.akinyemi87@yahoo.com,52421696701,Badagry Division,Amuwo-Odofin,16th,94116.0,Cracked underground pipe slowly flooding compound,6.44092,3.235877,Closed,2026-02-13 04:03:00
10,PP20130104181,2013-01-04,Chukwudi Adebisi,Male,2348131557181,chukwudi.adebisi78@outlook.com,12666017896,Ikeja Division,Mushin,Mariner - Ti,94130.0,Sewer overflow spreading wastewater near market area,6.541956,3.352342,Closed,2026-02-13 04:03:00
11,PP20130118554,2013-01-18,Adaeze Oladipo,Female,2348029167450,adaeze.oladipo41@outlook.com,3974065833,Epe Division,Epe,21st,94121.0,add one new bathroom.,6.584675,3.969353,Closed,2026-02-13 04:03:00
12,PP20130228661,2013-02-28,Adebayo Mohammed,Male,2348175720307,adebayo.mohammed78@hotmail.com,73264848555,Ikorodu Division,Ikorodu,18th,94121.0,Underground water pipe burst near hospital entrance,6.613956,3.511609,Closed,2026-02-13 04:03:00
13,PP20131108823,2013-11-08,Femi Oladipo,Male,2348070789187,femi.oladipo24@gmail.com,63386950653,Ikeja Division,Alimosho,Upper,94117.0,High-pressure pipe burst affecting multiple residential buildings,6.59749,3.298757,Closed,2026-02-13 04:03:00
14,PP20140515777,2014-05-15,Femi Okafor,Male,2349062164531,femi.okafor80@gmail.com,76780212158,Ikeja Division,Kosofe,Noe,94131.0,Toilet overflow due to heavily blocked drain system,6.577294,3.413783,Closed,2026-02-13 04:03:00
15,PP20140527016,2014-05-27,Opeyemi Chukwu,Female,2349082671576,opeyemi.chukwu24@yahoo.com,13440545358,Ikeja Division,Ifako-Ijaiye,Shrader,94117.0,High-pressure pipe burst affecting multiple residential buildings,6.663783,3.347123,Closed,2026-02-13 04:03:00
16,PP20141031441,2014-10-31,Amaka Chukwu,Female,2348132057547,amaka.chukwu87@hotmail.com,5063564872,Ikeja Division,Alimosho,Douglass,94114.0,"replace sink, remove stove gas line.",6.608865,3.284423,Closed,2026-02-13 04:03:00
17,PP20141110636,2014-11-10,Seyi Eze,Male,2348030035800,seyi.eze97@outlook.com,9736360014,Lagos Island Division,Apapa,Hill,94114.0,Sewer overflow spreading wastewater near market area,6.457025,3.346792,Closed,2026-02-13 04:03:00
18,PP20150504273,2015-05-04,Bola Adebisi,Female,2348154944957,bola.adebisi78@hotmail.com,95108675873,Lagos Island Division,Lagos Mainland,28th,94131.0,Minor kitchen sink pipe leakage under cabinet,6.526489,3.359603,Closed,2026-02-13 04:03:00
19,PP20150806933,2015-08-06,Yetunde Nnamdi,Female,2349028038798,yetunde.nnamdi93@yahoo.com,41052305793,Ikeja Division,Ifako-Ijaiye,Wisconsin,94107.0,2 shower pans.,6.656518,3.330569,Closed,2026-02-13 04:03:00
