,Plumber ID,Plumber Certificate ID,Plumber Name,Administrative Division,LGA Zone,Base Latitude,Base Longitude,Active Jobs,Rating
0,1,LAG-PC-637469,Seyi Ekanem,Ikeja Division,Ikeja,6.597477,3.353542,2,4.13
1,2,LAG-PC-267437,Ayomide Balogun,Ikeja Division,Alimosho,6.607038,3.295528,1,4.9
2,3,LAG-PC-725417,Chisom Okafor,Ikeja Division,Oshodi-Isolo,6.550274,3.304834,3,4.51
3,4,LAG-PC-514095,Chioma Umeh,Ikeja Division,Ikeja,6.598089,3.348824,1,4.2
4,5,LAG-PC-809263,Abdulrahman Afolabi,Ikeja Division,Agege,6.611884,3.33883,3,4.95
5,6,LAG-PC-824264,Chisom Adeyemi,Ikeja Division,Ikeja,6.599704,3.347963,3,4.88
6,7,LAG-PC-861381,Seyi Umeh,Ikeja Division,Ifako-Ijaiye,6.664948,3.328061,2,4.41
7,8,LAG-PC-989413,Kelechi Nwosu,Ikeja Division,Ifako-Ijaiye,6.672002,3.329914,1,3.72
8,9,LAG-PC-672031,Seyi Oladipo,Ikeja Division,Oshodi-Isolo,6.556871,3.308317,2,4.73
9,10,LAG-PC-731559,Chisom Bamidele,Ikeja Division,Oshodi-Isolo,6.553306,3.300067,1,4.21
10,11,LAG-PC-351919,Uche Umeh,Ikeja Division,Kosofe,6.585336,3.408795,0,4.23
11,12,LAG-PC-376874,Adebayo Balogun,Ikeja Division,Ikeja,6.603286,3.353875,0,4.86
12,13,LAG-PC-147988,Uche Ogunleye,Ikeja Division,Alimosho,6.606623,3.291015,0,3.9
13,14,LAG-PC-086870,Adebayo Chukwu,Ikeja Division,Ikeja,6.605726,3.345433,3,4.02
14,15,LAG-PC-772072,Tunde Umeh,Ikeja Division,Agege,6.614671,3.340859,1,4.69
15,16,LAG-PC-204969,Uche Umeh,Ikeja Division,Ikeja,6.603908,3.350785,2,5.0
16,17,LAG-PC-868710,Temitope Nwosu,Ikeja Division,Mushin,6.527707,3.353959,1,4.62
17,18,LAG-PC-667427,Chukwudi Ajayi,Ikeja Division,Ikeja,6.595087,3.347018,1,4.8
18,19,LAG-PC-520242,Obinna Chukwu,Ikeja Division,Ifako-Ijaiye,6.674633,3.330514,3,4.54
19,20,LAG-PC-049668,Chinedu Okafor,Ikeja Division,Mushin,6.532115,3.353816,0,4.16
20,21,LAG-PC-992603,Uche Balogun,Ikeja Division,Alimosho,6.614027,3.292673,2,4.55
21,22,LAG-PC-346636,Obinna Bamidele,Ikeja Division,Agege,6.608784,3.333864,2,4.38
22,23,LAG-PC-251984,Uche Afolabi,Ikeja Division,Alimosho,6.608733,3.284021,0,4.49
23,24,LAG-PC-539686,Amaka Ibrahim,Ikeja Division,Ifako-Ijaiye,6.669919,3.328777,0,3.83
24,25,LAG-PC-008838,Chinedu Okafor,Ikeja Division,Kosofe,6.581409,3.417189,2,4.64
25,26,LAG-PC-265784,Amaka Abiola,Ikeja Division,Mushin,6.537145,3.361168,3,4.8
26,27,LAG-PC-029757,Olamide Nnamdi,Ikeja Division,Oshodi-Isolo,6.560204,3.314421,3,4.3
27,28,LAG-PC-830093,Emeka Ajayi,Ikeja Division,Agege,6.619647,3.33979,1,4.67
28,29,LAG-PC-612040,Chukwudi Afolabi,Ikeja Division,Alimosho,6.604978,3.299615,0,4.13
29,30,LAG-PC-700115,Ijeoma Yakubu,Ikeja Division,Mushin,6.535022,3.357864,2,4.87
30,31,LAG-PC-640021,Chioma Nnamdi,Ikeja Division,Agege,6.609892,3.339547,0,3.82
31,32,LAG-PC-495636,Uche Akinyemi,Ikeja Division,Kosofe,6.584213,3.418909,2,4.81
32,33,LAG-PC-705743,Ayomide Danladi,Ikeja Division,Alimosho,6.610268,3.295617,3,4.84
33,34,LAG-PC-155085,Oluwaseun Danladi,Ikeja Division,Agege,6.623974,3.330914,2,4.06
34,35,LAG-PC-233292,Chinedu Oladipo,Ikeja Division,Oshodi-Isolo,6.556851,3.302687,0,4.31
