Job Request ID ,Application Date,Customer Name,Gender,Contact Number,Email Address,National ID Number,Administrative Division (Lagos),Street Name,Zipcode,Description of Need,Latitude,Longitude,Job Status,Completed Date and time,Label,LCDA,Region,LGA
PP20080827777,08/27/2008,Bola Ekanem,Female,2.34805E+12,bola.ekanem45@yahoo.com,99953733730,Lagos Island Division,Monterey,94127,Sudden burst water pipe inside bathroom wall causing flooding,6.501867,3.359417,Closed,13/02/2026 04:03,Leak,Agboyi-Ketu LCDA,Lagos Island,Surulere
PP20081216630,12/16/2008,Ngozi Ojo,Female,2.34905E+12,ngozi.ojo24@gmail.com,57215045765,Epe Division,27th,94121,new boiler,6.590477,3.99883,Closed,13/02/2026 04:03,Sanitation failure,Eredo LCDA,Ikeja,Mushin
PP20091112288,11/12/2009,Adaeze Danladi,Female,2.34804E+12,adaeze.danladi18@outlook.com,17742742886,Badagry Division,Chestnut,94123,Public tap pipe severely damaged in residential community,6.447658,3.247659,Closed,13/02/2026 04:03,Sanitation failure,Epe LCDA,Badagry,Ajeromi-Ifelodun
PP20091118429,11/18/2009,Aisha Akinyemi,Female,2.34811E+12,aisha.akinyemi61@yahoo.com,74441275865,Lagos Island Division,Naylor,94112,Bathroom floor drain completely clogged with wastewater backup,6.448892,3.429574,Closed,13/02/2026 04:03,Blockage,Agboyi-Ketu LCDA,Lagos Island,Surulere
PP20101217828,12/17/2010,Seyi Ibrahim,Male,2.34902E+12,seyi.ibrahim69@yahoo.com,36364167915,Ikeja Division,Church,94114,install a sand interception box and a sump pump outside the building,6.578605,3.422126,Closed,13/02/2026 04:03,Sanitation failure,Surulere LCDA,Lagos Island,Apapa
PP20110106181,01/06/2011,Ngozi Akinyemi,Female,2.34903E+12,ngozi.akinyemi87@yahoo.com,34057108174,Ikeja Division,Panorama,94131,Major pipe burst near primary school disrupting access road,6.578666,3.412043,Closed,13/02/2026 04:03,Leak,Ikoyi-Obalende LCDA,Epe,Ibeju-Lekki
PP20110629214,06/29/2011,Ngozi Bamidele,Female,2.34816E+12,ngozi.bamidele74@gmail.com,14852708837,Ikeja Division,Lombard,94109,Sudden burst water pipe inside bathroom wall causing flooding,6.52972,3.335467,Closed,13/02/2026 04:03,Leak,Oriade LCDA,Lagos Island,Lagos Island
PP20110826591,08/26/2011,Bola Ajayi,Female,2.34812E+12,bola.ajayi88@gmail.com,25997878390,Ikorodu Division,Lyon,94123,Low water pressure affecting entire household supply,6.602151,3.504877,Closed,13/02/2026 04:03,Sanitation failure,Surulere LCDA,Lagos Island,Apapa
PP20120515631,05/15/2012,Olamide Ogunleye,Male,2.34818E+12,olamide.ogunleye78@yahoo.com,69302620674,Badagry Division,Vallejo,94123,Flooding due to collapsed drainage system after rainfall,6.450872,3.186142,Closed,13/02/2026 04:03,Blockage,Ifako-Agege LCDA,Ikeja,Mushin
PP20121219905,12/19/2012,Chukwudi Akinyemi,Male,2.34819E+12,chukwudi.akinyemi87@yahoo.com,52421696701,Badagry Division,16th,94116,Cracked underground pipe slowly flooding compound,6.44092,3.235877,Closed,13/02/2026 04:03,Sanitation failure,Bariga LCDA,Badagry,Amuwo-Odofin
PP20130104181,01/04/2013,Chukwudi Adebisi,Male,2.34813E+12,chukwudi.adebisi78@outlook.com,12666017896,Ikeja Division,Mariner - Ti,94130,Sewer overflow spreading wastewater near market area,6.541956,3.352342,Closed,13/02/2026 04:03,Sanitation failure,Ikeja LCDA,Epe,Epe
