Plumber ID,Plumber Certificate ID,Plumber Name,Administrative Division,LGA,Base Latitude,Base Longitude,Active Jobs,Rating,Region,LCDA
1,LAG-PC-637469,Seyi Ekanem,Ikeja Division,Ikeja,6.597477,3.353542,2,4.13,Ikeja Division,Isolo LCDA
2,LAG-PC-267437,Ayomide Balogun,Ikeja Division,Alimosho,6.607038,3.295528,1,4.9,Ikeja Division,Oshodi-Bolade LCDA
3,LAG-PC-725417,Chisom Okafor,Ikeja Division,Oshodi-Isolo,6.550274,3.304834,3,4.51,Ikeja Division,Lekki LCDA
4,LAG-PC-514095,Chioma Umeh,Ikeja Division,Ikeja,6.598089,3.348824,1,4.2,Ikeja Division,Egbe-Idimu LCDA
5,LAG-PC-809263,Abdulrahman Afolabi,Ikeja Division,Agege,6.611884,3.33883,3,4.95,Ikeja Division,Iba LCDA
6,LAG-PC-824264,Chisom Adeyemi,Ikeja Division,Ikeja,6.599704,3.347963,3,4.88,Ikeja Division,Egbe-Idimu LCDA
7,LAG-PC-861381,Seyi Umeh,Ikeja Division,Ifako-Ijaiye,6.664948,3.328061,2,4.41,Ikeja Division,Apapa-Iganmu LCDA
8,LAG-PC-989413,Kelechi Nwosu,Ikeja Division,Ifako-Ijaiye,6.672002,3.329914,1,3.72,Ikeja Division,Amuwo-Odofin LCDA
9,LAG-PC-672031,Seyi Oladipo,Ikeja Division,Oshodi-Isolo,6.556871,3.308317,2,4.73,Ikeja Division,Lekki LCDA
10,LAG-PC-731559,Chisom Bamidele,Ikeja Division,Oshodi-Isolo,6.553306,3.300067,1,4.21,Ikeja Division,Lekki LCDA
11,LAG-PC-351919,Uche Umeh,Ikeja Division,Kosofe,6.585336,3.408795,0,4.23,Ikeja Division,Orile-Agege LCDA
12,LAG-PC-376874,Adebayo Balogun,Ikeja Division,Ikeja,6.603286,3.353875,0,4.86,Ikeja Division,Isolo LCDA
13,LAG-PC-147988,Uche Ogunleye,Ikeja Division,Alimosho,6.606623,3.291015,0,3.9,Ikeja Division,Oshodi-Bolade LCDA
14,LAG-PC-086870,Adebayo Chukwu,Ikeja Division,Ikeja,6.605726,3.345433,3,4.02,Ikeja Division,Isolo LCDA
15,LAG-PC-772072,Tunde Umeh,Ikeja Division,Agege,6.614671,3.340859,1,4.69,Ikeja Division,Iba LCDA
16,LAG-PC-204969,Uche Umeh,Ikeja Division,Ikeja,6.603908,3.350785,2,5,Ikeja Division,Isolo LCDA
17,LAG-PC-868710,Temitope Nwosu,Ikeja Division,Mushin,6.527707,3.353959,1,4.62,Ikeja Division,Eredo LCDA
18,LAG-PC-667427,Chukwudi Ajayi,Ikeja Division,Ikeja,6.595087,3.347018,1,4.8,Ikeja Division,Isolo LCDA
19,LAG-PC-520242,Obinna Chukwu,Ikeja Division,Ifako-Ijaiye,6.674633,3.330514,3,4.54,Ikeja Division,Apapa-Iganmu LCDA
20,LAG-PC-049668,Chinedu Okafor,Ikeja Division,Mushin,6.532115,3.353816,0,4.16,Ikeja Division,Eredo LCDA
21,LAG-PC-992603,Uche Balogun,Ikeja Division,Alimosho,6.614027,3.292673,2,4.55,Ikeja Division,Yaba LCDA
